PLAYER,TEAM,AGE,GAMES PLAYED,WINS,LOSSES,MINUTES PLAYED,POINTS,FIELD GOALS MADE,FIELD GOALS ATTEMPTED,FIELD GOAL %,3 POINT FIELD GOALS MADE,3 POINT FIELD GOALS ATTEMPTED,3 POINT FIELD GOALS %,FREE THROWS MADE,FREE THROWS ATTEMPTED,FREE THROW %,OFFENSIVE REBOUNDS,DEFENSIVE REBOUNDS,REBOUNDS,ASSISTS,TURNOVERS,STEALS,BLOCKS,PERSONAL FOULS,FANTASY POINTS,DOUBLE DOUBLES,TRIPLE DOUBLES,PLUS MINUS
Trevor Ariza,PHX,33,24,3,21,33.6,9.7,3.3,8.8,36.8,1.9,5.5,34.8,1.3,1.6,81.6,0.6,4.8,5.5,3.3,1.5,1.3,0.3,1.8,24.5,1,0,-11.7
Troy Daniels,PHX,27,10,1,9,14.6,7.7,2.6,5.8,44.8,2,4.6,43.5,0.5,0.5,100,0.4,1.3,1.7,0.7,0.9,0.6,0.1,1.4,12,0,0,-1.3
Al-Farouq Aminu,POR,28,25,14,11,29.6,9.1,3.1,7,43.8,1.4,3.9,35.7,1.6,1.8,84.8,1.3,6.8,8.1,0.6,0.8,1,0.4,2.3,23.1,4,0,3.3
Anfernee Simons,POR,19,5,3,2,6.7,2.2,1,3,33.3,0,1,0,0.2,0.8,25,0,1,1,0.2,0.6,0,0,0.2,3.1,0,0,-2
CJ McCollum,POR,27,24,13,11,34.3,21.3,8.4,18,46.4,2.2,6,36.1,2.4,2.9,82.9,1.1,2.8,3.8,2.4,1.8,0.8,0.3,2.6,31,0,0,3.1
Caleb Swanigan,POR,21,11,7,4,9.7,2.3,0.9,3,30.3,0.1,0.4,25,0.4,0.5,80,1,2.7,3.7,0.5,1,0.4,0,1.4,7.5,1,0,-3.6
Damian Lillard,POR,28,25,14,11,35.2,27.2,8.8,20,44.3,2.9,8.1,36.1,6.6,7.4,89.7,0.8,4.3,5.1,6.4,2.6,0.8,0.5,1.7,44.3,3,0,3
Evan Turner,POR,30,24,14,10,26,8.4,3.6,7.8,46.2,0.2,1.1,14.8,1.1,1.8,61.9,0.6,4.5,5.1,4.2,1.9,0.8,0.3,2.2,22.3,1,0,1.4
Gary Trent Jr.,POR,19,3,2,1,6.5,3.3,1.3,4.3,30.8,0.7,1.7,40,0,0.7,0,0,1.3,1.3,0,0.3,0,0,0.3,4.6,0,0,-1
Jake Layman,POR,24,20,13,7,16.3,6,2.5,4.5,55.1,0.9,2.2,40.9,0.2,0.5,44.4,0.7,1.9,2.6,0.4,0.7,0.6,0.4,1.1,11.7,0,0,-0.3
Jusuf Nurkic,POR,24,25,14,11,26.2,14.7,5.6,11,50.9,0.1,0.9,13.6,3.4,4.6,73.9,3.8,6.7,10.6,2.2,2.1,0.9,1.1,3.1,34.8,12,0,4
Maurice Harkless,POR,25,13,5,8,17.2,3.8,1.5,3.8,40.8,0.5,1.6,28.6,0.2,0.3,75,0.5,2.7,3.2,0.6,0.6,0.8,0.8,2.4,12.6,0,0,-0.7
Meyers Leonard,POR,26,22,12,10,12.7,6,2,3.9,51.2,1,1.9,51.2,1,1.2,84.6,1.2,3.2,4.5,1,0.7,0.3,0.1,1.3,13.2,1,0,-1.4
Nik Stauskas,POR,25,25,14,11,17.2,7.1,2.5,5.8,42.8,1.2,3.3,36.6,0.9,1,92,0.3,1.5,1.8,1.6,1.1,0.3,0.1,1,11.9,0,0,-4.4
Seth Curry,POR,28,21,12,9,16.5,4.2,1.5,4.2,36.4,0.9,2,44.2,0.2,0.2,100,0.3,1,1.3,0.8,0.8,0.1,0.1,1.3,6.9,0,0,4.6
Wade Baldwin IV,POR,22,9,6,3,5.7,1.1,0.4,2,22.2,0.1,0.6,20,0.1,0.1,100,0.1,0.8,0.9,0.9,0.9,0,0.2,0.3,3.3,0,0,-4.3
Zach Collins,POR,21,25,14,11,19.4,7.9,2.9,5.6,51.8,0.6,1.8,33.3,1.4,1.6,87.8,1.4,2.9,4.2,1,1.3,0.4,1,3,17.2,0,0,-0.1
Ben McLemore,SAC,25,7,4,3,5.7,2.1,0.7,2.7,26.3,0.7,2,35.7,0,0.3,0,0,0.1,0.1,0.3,0.1,0,0,0.6,2.6,0,0,-0.4
Bogdan Bogdanovic,SAC,26,13,6,7,25.7,15.4,5.6,12.7,44.2,2.2,5.6,38.4,2,2.2,92.9,0.5,2.6,3.1,3.3,1.2,0.6,0.1,2.2,25,0,0,0.8
Buddy Hield,SAC,24,24,13,11,30.7,18.7,7.2,15,47.8,2.5,5.9,43,1.8,2.2,84.6,1.2,4.3,5.5,2.6,2.3,0.5,0.5,2.4,29.8,2,0,1.1
De'Aaron Fox,SAC,20,24,13,11,32.3,17.8,6.3,13.2,47.3,1.3,3,41.1,4,5.8,70.3,0.5,3.3,3.7,7.7,3.2,1.4,0.5,2.3,36.3,6,1,3
Frank Mason,SAC,24,22,11,11,13.7,5.1,1.8,4.8,38.1,0.3,1.6,19.4,1.2,1.6,72.2,0.1,1.3,1.4,2.9,1,0.5,0.1,0.9,12.2,0,0,-4.1
Harry Giles III,SAC,20,18,8,10,10.3,5.4,2.4,5.2,46.8,0,0.1,0,0.6,1.2,47.6,1.1,2.1,3.1,1.2,1.1,0.7,0.2,2.4,12.6,0,0,-6.3
Iman Shumpert,SAC,28,21,11,10,25.3,9.2,3.2,7.5,43.3,1.8,4.6,38.1,1,1.1,87.5,0.4,2.8,3.2,1.7,0.6,1.1,0.3,2.6,19.4,0,0,-1
Justin Jackson,SAC,23,23,13,10,20.7,6.7,2.5,5.6,45,1,2.8,34.4,0.7,1,72.7,0.4,2.3,2.7,1.6,0.3,0.4,0.2,1,13.9,0,0,0.1
Kosta Koufos,SAC,29,10,7,3,14.6,4.5,2.2,4.2,52.4,0,0,0,0.1,0.2,50,1.2,4.6,5.8,1.1,0.7,0.7,0.4,1.9,15.7,0,0,0.6
Marvin Bagley III,SAC,19,22,11,11,24.2,13.1,5.1,9.7,52.6,0.4,1.1,33.3,2.6,4,64.8,2.6,3.9,6.5,0.9,1.9,0.5,1.2,1.9,25.5,3,0,-4.7
Nemanja Bjelica,SAC,30,24,13,11,24.2,11,4.3,7.8,54.5,1.5,3.1,49.3,0.9,1.2,75.9,1.3,4.3,5.6,2,1.5,1,0.6,2.8,24.1,2,0,2
Skal Labissiere,SAC,22,7,2,5,5.8,2.4,0.9,1.9,46.2,0.1,0.7,20,0.6,0.7,80,0.1,1.1,1.3,0.3,0.6,0.3,0.1,1.6,5.1,0,0,-0.6
Troy Williams,SAC,23,14,6,8,15.3,6.7,2.6,4.9,52.2,1,2.3,43.8,0.6,0.9,61.5,0.4,2.3,2.6,0.4,0.3,0.5,0.4,1.9,12.7,0,0,-0.1
Willie Cauley-Stein,SAC,25,24,13,11,28.2,14.1,6.3,11.5,54.7,0,0,100,1.5,3.3,46.2,2.3,5.8,8.1,2.3,1.4,1.2,0.4,3.3,30.8,8,0,3.6
Yogi Ferrell,SAC,25,15,8,7,12.8,4.6,1.5,3.9,39,0.5,1.7,32,1,1,100,0.1,1.2,1.3,0.9,0.5,0.5,0.1,0.9,8.6,0,0,-3.1
Bryn Forbes,SAS,25,26,12,14,26.8,11.7,4.4,10,44.2,2,5,40.8,0.8,1,80.8,0.2,1.6,1.8,2.1,1.2,0.6,0,2.4,17.7,0,0,-5.2
Chimezie Metu,SAS,21,15,6,9,5.8,2.5,0.9,2.4,38.9,0,0.1,0,0.6,0.7,81.8,0.5,0.9,1.4,0.7,0.5,0.3,0.1,0.4,5.8,0,0,0.1
Dante Cunningham,SAS,31,26,12,14,22.6,4.3,1.6,3.6,44.7,0.7,1.7,44.2,0.3,0.4,90,1.3,3.5,4.7,1.3,0.6,0.7,0.4,2,14.7,0,0,-4.7
Davis Bertans,SAS,26,24,11,13,17.2,7.2,2.5,5.1,48,1.7,3.7,44.9,0.6,0.6,93.3,0.4,2.2,2.6,0.9,0.5,0.4,0.4,1.4,13.6,0,0,0
DeMar DeRozan,SAS,29,26,12,14,35.7,24.7,9.3,19.2,48.4,0.2,1.3,17.6,5.9,6.9,85.5,0.8,4.9,5.7,6,2.6,1,0.5,2.2,42.3,4,0,-3
Derrick White,SAS,24,17,6,11,19.5,5.7,2.3,5.7,40.2,0.4,1.5,26.9,0.7,0.9,75,0.3,2.5,2.8,3.2,1.4,0.5,0,1.6,14.2,0,0,-3.3
Drew Eubanks,SAS,21,3,0,3,4.2,2.7,1,1.7,60,0,0,0,0.7,0.7,100,0.3,0,0.3,0,0.7,0,0,0,2.4,0,0,6.7
Jakob Poeltl,SAS,23,22,8,14,13.3,6,2.5,3.7,66.7,0,0,0,1,1.5,69.7,2.2,2.4,4.6,1,0.8,0.2,0.6,1.5,14.7,0,0,0.4
LaMarcus Aldridge,SAS,33,26,12,14,33.3,18.1,7.1,15.7,45,0,0.3,0,4,4.7,83.7,3.5,6.5,10,2.3,2,0.4,1.2,2,36.4,10,0,-4.2
Marco Belinelli,SAS,32,25,11,14,21.7,9.3,3.2,8.8,35.9,1.5,4.6,33,1.4,1.7,85.7,0.2,1.6,1.8,1.9,0.6,0.6,0.2,1.4,15.8,0,0,-1.1
Patty Mills,SAS,30,26,12,14,25,9.9,3.5,8,43.5,1.8,4.5,39.3,1.1,1.4,80.6,0.3,2.3,2.6,2.7,0.9,0.6,0.2,1.5,18.5,0,0,1.3
Pau Gasol,SAS,38,9,6,3,17.5,6.8,2.4,4.8,51.2,0.4,0.8,57.1,1.4,2,72.2,1.2,4.9,6.1,3.3,0.8,0.1,1,1.8,21.7,1,0,0.6
Quincy Pondexter,SAS,30,21,8,13,6.2,2.2,0.6,1.2,48,0.1,0.4,22.2,1,1.2,84,0.2,0.9,1.1,0.4,0.3,0.3,0,0.7,4.8,0,0,0.4
Rudy Gay,SAS,32,22,11,11,27,13.5,5.3,10.6,50.2,1.4,2.7,50,1.5,1.8,82.1,1.2,5.5,6.6,2.1,1.6,0.8,0.6,2.5,27.2,4,0,-1.2
CJ Miles,TOR,31,21,17,4,13.8,4.9,1.6,5,31.7,0.9,3.3,27.1,0.8,1.1,73.9,0.3,1.4,1.7,0.8,0.6,0.3,0.3,1.4,9.2,0,0,-3
Chris Boucher,TOR,25,3,2,1,4,4.3,1.3,2.7,50,0.3,1.3,25,1.3,2,66.7,1,1.3,2.3,0,0,0,1,0.7,10.1,0,0,1.7
Danny Green,TOR,31,27,21,6,29.2,9.5,3.4,7.9,43.9,2.4,5.7,42.5,0.2,0.2,100,0.9,3,3.9,1.3,1.1,1,0.7,2.3,20.1,0,0,11.3
Delon Wright,TOR,26,22,16,6,16.1,5.9,2.2,5.1,43.4,0.8,1.8,42.5,0.7,0.7,100,0.6,1.3,2,1.5,0.8,0.7,0.3,0.9,12.6,0,0,-2.5
Fred VanVleet,TOR,24,23,18,5,23.8,9,3.3,8.3,40,1.3,4,31.5,1.1,1.5,76.5,0.4,1.8,2.2,4.1,1.3,0.9,0.1,1.6,19.6,0,0,2
Greg Monroe,TOR,28,11,8,3,7.3,3.7,1.7,3.4,51.4,0,0.2,0,0.3,0.6,42.9,1.2,1.9,3.1,0.4,0.7,0.4,0,0.8,8.3,0,0,-1.5
Jonas Valanciunas,TOR,26,27,21,6,19.4,13.2,5.1,8.7,58.3,0.3,1,28.6,2.7,3.3,82.2,1.8,5.6,7.4,1.1,1.4,0.4,0.9,2.9,26,5,0,2.6
Jordan Loyd,TOR,25,3,2,1,5.8,4,1,1,100,0.7,0.7,100,1.3,1.3,100,0.3,1.3,1.7,0.3,0.3,0,0,0.7,6.2,0,0,4
Kawhi Leonard,TOR,27,21,16,5,34.5,26.4,9.3,19,49,1.9,4.8,39,6,7,85.6,1.2,7.1,8.3,3,2,1.9,0.6,1.6,46.1,7,0,6.9
Kyle Lowry,TOR,32,26,20,6,34.1,14.2,4.8,11.2,43.2,2.2,6.5,33.3,2.3,2.8,83.6,0.5,3.8,4.3,10.1,2.8,1.4,0.4,2.2,37.2,11,1,8.9
Lorenzo Brown,TOR,28,16,14,2,8.5,2.6,1.1,2.8,37.8,0.3,1.4,22.7,0.1,0.1,100,0.1,1,1.1,0.9,0.8,0.4,0.3,0.9,6.4,0,0,-0.8
Malachi Richardson,TOR,22,12,9,3,5.7,1.3,0.4,1.5,27.8,0.3,1.3,26.7,0.2,0.3,66.7,0.1,0.8,0.8,0,0.6,0.1,0,0.7,2,0,0,-0.4
Norman Powell,TOR,25,11,10,1,14.9,5,1.8,3.8,47.6,0.8,2,40.9,0.5,0.7,75,0.2,1.8,2,0.9,0.7,0.5,0.1,1.5,9.7,0,0,1.1
OG Anunoby,TOR,21,21,16,5,20.6,8,3.3,7.4,44.5,1.1,3.8,30,0.3,0.8,35.3,0.8,2,2.7,0.6,0.8,0.6,0.2,2.2,13.8,0,0,0.3
Pascal Siakam,TOR,24,27,21,6,30.2,14.5,5.8,9.4,61.4,0.6,1.8,33.3,2.4,3,78,1.4,5.1,6.4,2.7,1.4,1.1,0.7,3.1,30.1,3,0,8.6
Serge Ibaka,TOR,29,26,21,5,27.3,16.2,6.7,12,55.6,0.7,2.3,27.9,2.2,2.7,81.4,2.2,5.2,7.3,1.3,1.8,0.5,1.3,3.1,30.3,3,0,6.6
Dante Exum,UTA,23,25,12,13,16.3,6.8,2.3,5.8,39.7,0.4,1.6,26.8,1.7,2.4,71.7,0.4,1.4,1.7,2.1,1.2,0.4,0.2,1.7,12.4,0,0,-0.4
Derrick Favors,UTA,27,25,12,13,23,10.9,4.4,7.3,60.4,0.3,1,30.8,1.8,2.8,64.3,3,4.1,7.1,0.9,1.2,0.8,1.3,2.4,26.1,2,0,-2.6
Donovan Mitchell,UTA,22,22,12,10,32.3,20.6,7.8,18.3,42.7,1.9,6.5,29.2,3,3.8,80.7,0.4,2.5,2.8,3.5,2.5,1.7,0.3,2.5,32.9,0,0,1.7
Ekpe Udoh,UTA,31,17,9,8,5.8,1.6,0.6,0.8,84.6,0,0,0,0.3,0.5,62.5,0.2,1,1.2,0.4,0.4,0.1,0.5,0.9,5,0,0,-1.1
Georges Niang,UTA,25,19,11,8,7.2,3.3,1.2,2.6,44,0.7,1.8,38.2,0.3,0.4,85.7,0.2,1.2,1.3,0.5,0.3,0.2,0.1,0.9,6.1,0,0,-2.8
Grayson Allen,UTA,23,15,6,9,10.3,4.4,1.3,3.8,33.3,0.7,2.5,27,1.2,1.7,72,0.1,0.3,0.3,0.4,0.7,0.1,0,1.1,4.9,0,0,-2.1
Jae Crowder,UTA,28,26,13,13,28.6,12.5,4.1,10.2,40.4,2,6.2,32.1,2.3,3.1,73.8,0.7,4,4.7,1.8,0.9,0.8,0.5,2.3,23.7,0,0,1.9
Joe Ingles,UTA,31,26,13,13,31.9,12.7,4.7,10.2,45.7,2.3,5.8,39.5,1.1,1.6,68.3,0.3,3.6,3.9,4.5,2.3,1.7,0.2,2.5,27.6,0,0,3.5
Kyle Korver,UTA,37,20,6,14,16,7,2.3,5,46.5,1.7,3.6,46.5,0.8,1,78.9,0.1,1.8,1.9,1,1.2,0.2,0.2,1.3,10.8,0,0,-1.4
Naz Mitrou-Long,UTA,25,1,0,1,3.7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11
Raul Neto,UTA,26,9,5,4,10.8,5,1.9,3.8,50,0.4,1.4,30.8,0.8,0.9,87.5,0.2,1,1.2,2.3,1,0.4,0,1,10.3,0,0,-0.9
Ricky Rubio,UTA,28,26,13,13,29.6,12.7,4.3,11,39.3,1.4,4.3,33,2.7,3.2,83.1,0.3,3.2,3.5,6.4,3,1.5,0.2,3,28.6,4,0,1.7
